gene_id,seqnames,start,end,width,strand,gene_source,gene_biotype,gene_name,symbol,root,characterized,cis_eqtl,pval_eqtl,cis_sqtl,pval_sqtl,ld,xpclr,fst,HbTrop,HbTemp,Diff,function,Label
Zm00001d027821,1,14492187,14492564,378,+,gramene,protein_coding,embryo surrounding region3,esr3,False,True,,,,,,7.66627791868744,0.18989925,NA,NA,#VALUE!, esr3;embryo surrounding region3: cDNA expressed 4 to 28 DAP in endosperm locally surrounding the embryo,N
Zm00001d027918,1,17609594,17615130,5537,+,gramene,protein_coding,,,False,False,,,,,,13.3606998210909,0.184514666666667,NA,NA,#VALUE!,NA,N
Zm00001d027919,1,17615562,17626036,10475,-,gramene,protein_coding,,,False,False,,,,,,14.2343929331818,0.184514666666667,NA,NA,#VALUE!,40S ribosomal protein Sa-1,N
Zm00001d027920,1,17617359,17621852,4494,+,gramene,protein_coding,,,False,False,,,,,,14.2343929331818,0.184514666666667,NA,NA,#VALUE!,NA,N
Zm00001d027921,1,17697601,17709046,11446,+,gramene,protein_coding,,,True,False,1-17391375,2.43460860609144E-27,1-17399385,4.36528593764212E-50,0.172177944495424,16.7121937376,0.199114125,0.602012227638967,0.193404409800308,-0.678736741679116,Protein DETOXIFICATION 12,N
Zm00001d027922,1,17722776,17726155,3380,-,gramene,protein_coding,,,True,False,1-17461712,1.67709976186413E-29,,,,15.7992437412857,0.199114125,0.684723598235442,0.758525046639738,0.107782831779838,Eukaryotic translation initiation factor 3 subunit K,N
Zm00001d027924,1,17775779,17777344,1566,-,gramene,protein_coding,AP2-EREBP-transcription factor 179,ereb179,True,False,,,1-17488171,7.78561702003705E-27,,8.4266884655,0.194594333333333,0.054952326548361,0.298707682673616,4.43576043883669,NA,N
Zm00001d028135,1,23884937,23885009,73,-,gramene,tRNA,,,False,False,,,,,,7.789370087,0.214051,NA,NA,#VALUE!,NA,N
Zm00001d022695,1,23886427,23886739,313,+,gramene,lincRNA,,,False,False,,,,,,7.789370087,0.214051,NA,NA,#VALUE!,NA,N
Zm00001d028136,1,23886807,23886879,73,-,gramene,tRNA,,,False,False,,,,,,7.789370087,0.214051,NA,NA,#VALUE!,NA,N
Zm00001d028137,1,23889397,23890397,1001,-,gramene,protein_coding,,,False,False,,,,,,7.2529212765,0.207819,NA,NA,#VALUE!,40S ribosomal protein S23-2,N
Zm00001d028138,1,23950399,23952029,1631,-,gramene,protein_coding,,,False,False,,,,,,7.2529212765,0.20014725,NA,NA,#VALUE!,thiamine monophosphate synthase,N
Zm00001d028139,1,23959615,23962773,3159,-,gramene,protein_coding,,bnlg1953,True,True,1-23561860,5.77747922379605E-15,,,,7.2529212765,0.20014725,NA,NA,#VALUE!, bnlg1953; : similar to Arabidopsis C2H2-like zinc finger protein,N
Zm00001d022696,1,23975045,23975255,211,+,gramene,lincRNA,,,False,False,,,,,,7.2529212765,0.20014725,NA,NA,#VALUE!,NA,N
Zm00001d028140,1,23975834,23981932,6099,+,gramene,protein_coding,,,False,False,,,,,,7.2529212765,0.20014725,NA,NA,#VALUE!,Noc2p family,N
Zm00001d028168,1,25094816,25099163,4348,+,gramene,protein_coding,,,False,False,,,,,,11.117123748,0.179164,NA,NA,#VALUE!,NA,N
Zm00001d028169,1,25107834,25110428,2595,+,gramene,protein_coding,,,False,False,,,,,,11.117123748,0.179164,NA,NA,#VALUE!,Plant mobile domain protein family,N
Zm00001d028170,1,25116199,25117425,1227,+,gramene,protein_coding,,,True,False,,,,,,11.117123748,0.179164,0.218811246904167,0.295171512033602,0.348977788892536,Dopamine beta-monooxygenase  ,N
Zm00001d028171,1,25153513,25154838,1326,+,gramene,protein_coding,,,True,False,1-24778069,1.39894702760692E-18,,,,9.5438939945,0.179164,0.78932042123103,0.561884956448465,-0.288140859738375,Calcium-dependent lipid-binding (CaLB domain) family protein,N
Zm00001d028172,1,25155607,25160138,4532,-,gramene,protein_coding,,,False,False,,,,,,9.5438939945,0.179164,NA,NA,#VALUE!,NA,N
Zm00001d028179,1,25577402,25578107,706,+,gramene,protein_coding,,,False,False,,,,,,37.226416222,0.310623,NA,NA,#VALUE!,NA,N
Zm00001d028180,1,25632515,25636718,4204,+,gramene,protein_coding,low phytic acid1,mips1,True,True,1-25208944,5.03042450956432E-21,,,,65.6815845632857,0.324189428571429,0.387772834528293,0.772537426718789,0.99224225610993, lpa1;low phytic acid1: decreased phytic acid in grain with corresponding increases in inorganic phosphate,N
Zm00001d028181,1,25715085,25717227,2143,+,gramene,protein_coding,,,True,False,1-25290618,1.71917603034597E-49,,,,52.053803174,0.269654375,0.757055094756477,0.608781597880371,-0.195855622534053,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 13-A,N
Zm00001d028182,1,25720877,25723883,3007,+,gramene,protein_coding,,,False,False,,,,,,48.9418381941111,0.257673142857143,NA,NA,#VALUE!,Protein UPSTREAM OF FLC,N
Zm00001d028183,1,25725534,25732327,6794,-,gramene,protein_coding,,pco073966,True,False,,,,,,48.9418381941111,0.257673142857143,0.509816737692005,0.065939182895724,-0.870661008121786,T-complex protein 1 subunit gamma  ,N
Zm00001d028184,1,25734022,25737544,3523,+,gramene,protein_coding,,,False,False,,,,,,45.39624546,0.244759166666667,NA,NA,#VALUE!,NA,N
Zm00001d028185,1,25738664,25741208,2545,-,gramene,protein_coding,remorin6.3,remo1,True,True,1-25395443,1.51022103274668E-14,1-25393831,1.27846414640856E-18,0.483711081825174,45.39624546,0.244759166666667,0.808825673004255,0.504404449303516,-0.376374333631145, rem6.3;remorin6.3:,Y
Zm00001d028186,1,25742203,25745382,3180,+,gramene,protein_coding,,,False,False,,,,,,40.7437822528571,0.2292842,NA,NA,#VALUE!,Pentatricopeptide repeat-containing protein ,N
Zm00001d028187,1,25755280,25759748,4469,+,gramene,protein_coding,,umc1711,True,True,,,,,,35.5442447186667,0.2153405,0.700653034482991,0.361573672312901,-0.48394761098879,Heparanase-like protein 1,N
Zm00001d028188,1,25760320,25767012,6693,-,gramene,protein_coding,,,True,False,1-25423284,1.24975041163771E-09,,,,30.158373877,0.199990333333333,0.466780453661106,0.493340135654154,0.056899730450862,Probable galacturonosyltransferase 13,N
Zm00001d028189,1,25769858,25774094,4237,-,gramene,protein_coding,,,True,False,,,,,,30.158373877,0.199990333333333,0.390172498946151,0.508792668564446,0.304019811592785,Leucine-rich repeat (LRR) family protein,N
Zm00001d028312,1,30246573,30253035,6463,+,gramene,protein_coding,,,False,False,,,,,,7.93555396133333,0.2485394,NA,NA,#VALUE!,Transcription factor bHLH18,N
Zm00001d028390,1,33086231,33088568,2338,-,gramene,protein_coding,,,False,False,,,,,,11.4635219486667,0.184661,NA,NA,#VALUE!,F-box protein At-B,N
Zm00001d028391,1,33115669,33118053,2385,-,gramene,protein_coding,,,True,False,,,,,,12.7625689531667,0.183262,0.43393834217682,0.280877925544068,-0.35272388207259,Subtilisin-like protease SBT1.6,N
Zm00001d028392,1,33147676,33150346,2671,-,gramene,protein_coding,,adf5,True,True,1-32847195,8.49881811580312E-12,,,,12.4544204237,0.205494111111111,0.0621752572659,0.288217055295576,3.63555870887644, adf5;actin depolymerizing factor5:,N
Zm00001d028393,1,33164527,33166953,2427,-,gramene,protein_coding,,,False,False,,,,,,12.9134447708889,0.205494111111111,NA,NA,#VALUE!,UDP-N-acetylglucosamine diphosphorylase 2,N
Zm00001d028394,1,33167117,33168214,1098,+,gramene,protein_coding,,,False,False,,,,,,12.9134447708889,0.205494111111111,NA,NA,#VALUE!,Bifunctional D-cysteine desulfhydrase/1-aminocyclopropane-1-carboxylate deaminase mitochondrial,N
Zm00001d028395,1,33168640,33169312,673,-,gramene,protein_coding,,,True,False,,,,,,12.9134447708889,0.205494111111111,0.311008830147314,0.236173690499056,-0.240620626793172,Fructose-bisphosphate aldolase 3 chloroplastic,N
Zm00001d028396,1,33303345,33310707,7363,-,gramene,protein_coding,,,True,False,1-32846418,4.60666379770698E-17,,,,23.1889939967485,0.313164181818182,0.747717387013054,0.144930239441298,-0.806169761518776,26S proteasome non-ATPase regulatory subunit 4 homolog,N
Zm00001d028397,1,33440965,33448136,7172,+,gramene,protein_coding,,,True,False,,,,,,9.76019799250179,0.202459,0.385320559829939,0.260152026075778,-0.324842603284403,Acyl-CoA-binding domain-containing protein 3,N
Zm00001d028398,1,33451482,33454805,3324,+,gramene,protein_coding,,xyl5,True,True,,,,,,8.37000977533333,0.18913875,0.255400327658428,0.385667987744693,0.510052830709304,Glycosyl hydrolase family 10 protein,N
Zm00001d022708,1,33490519,33491688,1170,+,gramene,lincRNA,,,False,False,,,,,,8.37000977533333,0.18913875,NA,NA,#VALUE!,NA,N
Zm00001d022709,1,33490777,33491213,437,+,gramene,lincRNA,,,False,False,,,,,,8.37000977533333,0.18913875,NA,NA,#VALUE!,NA,N
Zm00001d028552,1,38985184,38986051,868,+,gramene,protein_coding,,,False,False,,,,,,6.354909853,0.193085,NA,NA,#VALUE!,EIN3-binding F-box protein 1,N
Zm00001d028554,1,38993551,38998358,4808,-,gramene,protein_coding,,hsp10,True,True,1-38641784,6.49592583572784E-10,1-38638039,1.84305315343319E-74,0.031221217476704,6.354909853,0.193085,0.457113676562896,0.424607204001849,-0.071112448013956, IDPC175; : Sequence shows similarity to Arabidopsis HSP18.2,N
Zm00001d028555,1,38997819,38998295,477,+,gramene,protein_coding,,hsp10,True,True,,,,,,6.354909853,0.193085,0.289081967376031,0.419409917140313,0.450833896514737,17.4 kDa class I heat shock protein 3  ,N
Zm00001d028802,1,46826505,46831989,5485,-,gramene,protein_coding,,,True,False,1-46559729,9.27719833648747E-22,,,,8.3149279287391,0.196797,0.77815135497727,0.456184999872799,-0.413758008702402,NA,N
Zm00001d028803,1,46852702,46858687,5986,-,gramene,protein_coding,,,False,False,,,,,,8.3149279287391,0.196797,NA,NA,#VALUE!,Protein SCAR2,N
Zm00001d028804,1,46898667,46903474,4808,-,gramene,protein_coding,,,True,False,1-46627698,1.00510861787428E-97,,,,8.68067188648793,0.196797,0.88313413216842,0.819992975335033,-0.071496678175434,U2 small nuclear ribonucleoprotein B'',N
Zm00001d028828,1,47876114,47877953,1840,+,gramene,protein_coding,C3H-transcription factor 341,c3h41,False,False,,,,,,6.606405464,0.313024142857143,NA,NA,#VALUE!,Zinc finger CCCH domain-containing protein 14,N
Zm00001d028829,1,47880745,47883443,2699,+,gramene,protein_coding,,,False,False,,,,,,7.5002309025,0.3348995,NA,NA,#VALUE!,Calmodulin-binding protein 60 G,N
Zm00001d028830,1,47982359,47988628,6270,-,gramene,protein_coding,,,True,False,,,,,,6.61144783483333,0.4935546,0.332324006636812,0.294459734400525,-0.113937818153679,P-loop nucleoside triphosphate hydrolases superfamily protein with CH (Calponin Homology) domain,N
Zm00001d028831,1,47989803,47991767,1965,-,gramene,protein_coding,,,False,False,,,,,,6.61144783483333,0.4935546,NA,NA,#VALUE!,NA,N
Zm00001d028835,1,48144847,48146062,1216,+,gramene,protein_coding,,,False,False,,,,,,7.488000487,0.2842616,NA,NA,#VALUE!,NA,N
Zm00001d028839,1,48330999,48331432,434,-,gramene,protein_coding,,,False,False,,,,,,23.2226900816,0.2573212,NA,NA,#VALUE!,Hypersensitive-induced response protein 2,N
Zm00001d028840,1,48333284,48337489,4206,+,gramene,protein_coding,,,True,False,,,,,,23.2226900816,0.2573212,0.110665297999971,0.303098313275353,1.73887405314205,DUF4378 domain protein,N
Zm00001d028841,1,48337931,48338995,1065,+,gramene,protein_coding,,,True,False,,,,,,23.2226900816,0.2573212,NA,NA,#VALUE!,Calmodulin-binding protein  ,N
Zm00001d028842,1,48424617,48430126,5510,-,gramene,protein_coding,MYB-related-transcription factor 91,mybr102,False,False,,,,,,17.0392313921429,0.225559571428571,NA,NA,#VALUE!," p2;pericarp color2: nearly identical to p1, active in anther and silk but does not determine pericarp color; SSR's umc2096, umc2097.",N
Zm00001d028843,1,48430486,48430558,73,+,gramene,tRNA,,,False,False,,,,,,15.795817916,0.2214555,NA,NA,#VALUE!,NA,N
Zm00001d028844,1,48431072,48431144,73,-,gramene,tRNA,,,False,False,,,,,,15.795817916,0.2214555,NA,NA,#VALUE!,NA,N
Zm00001d028845,1,48436711,48438133,1423,-,gramene,protein_coding,,,False,False,,,,,,15.795817916,0.2214555,NA,NA,#VALUE!,Transcription factor MYB12,N
Zm00001d028847,1,48443120,48443192,73,+,gramene,tRNA,,,False,False,,,,,,14.1791308022,0.2300374,NA,NA,#VALUE!,NA,N
Zm00001d028848,1,48443705,48443777,73,-,gramene,tRNA,,,False,False,,,,,,14.1791308022,0.2300374,NA,NA,#VALUE!,NA,N
Zm00001d028849,1,48449345,48450829,1485,-,gramene,protein_coding,,,False,False,,,,,,14.1791308022,0.2300374,NA,NA,#VALUE!,Transcription factor MYB12,N
Zm00001d028866,1,48956482,48959493,3012,-,gramene,protein_coding,,,True,False,,,,,,57.197346752,0.247595,NA,NA,#VALUE!,Tetratricopeptide repeat (TPR)-like superfamily protein,N
Zm00001d028867,1,49060954,49063784,2831,-,gramene,protein_coding,,AY110240,True,True,1-48655584,4.3630368461795E-13,,,,32.8924732234444,0.20579,0.462096994877025,0.691063551997148,0.495494581567354,cAMP-regulated phosphoprotein 19-related protein,N
Zm00001d028868,1,49087869,49093033,5165,-,gramene,protein_coding,,,True,False,1-48686444,1.53489101504382E-36,,,,27.080844095,0.201757875,0.666973610916338,0.643597844887263,-0.035047512594928,Acetate/butyrate--CoA ligase AAE7 peroxisomal,N
Zm00001d028871,1,49267598,49268126,529,+,gramene,protein_coding,,,False,False,,,,,,9.4838021022,0.2964855,NA,NA,#VALUE!,conserved oligomeric Golgi complex component-related / COG complex component-related,N
Zm00001d028872,1,49274472,49276941,2470,+,gramene,protein_coding,,,True,False,,,,,,10.3231731866667,0.3115162,0.41027486312654,0.108437955649941,-0.735694371272032,Tubulin gamma-2 chain,N
Zm00001d028873,1,49279038,49280540,1503,+,gramene,protein_coding,,,False,False,,,,,,11.5241465401429,0.3233665,NA,NA,#VALUE!,Outer envelope pore protein 16-2 chloroplastic,N
Zm00001d028874,1,49292250,49293617,1368,-,gramene,protein_coding,,,True,False,,,,,,12.3967922445,0.336974571428571,0.117692299046215,0.507244003258211,3.30991668417513,Xyloglucan 6-xylosyltransferase 2,N
Zm00001d028875,1,49355748,49389986,34239,-,gramene,protein_coding,,,False,False,,,,,,17.8830106943077,0.426718615384615,NA,NA,#VALUE!,Lon protease homolog 2 peroxisomal,N
Zm00001d028876,1,49474188,49475858,1671,+,gramene,protein_coding,,,True,False,,,,,,13.2640991592644,0.2695347,0.690256725307599,0.756712210368313,0.096276476018541,agenet domain-containing protein / bromo-adjacent homology (BAH) domain-containing protein,N
Zm00001d028877,1,49476900,49477390,491,+,gramene,protein_coding,,,False,False,,,,,,13.2640991592644,0.2695347,NA,NA,#VALUE!,Cyclin-dependent kinase B1-1,N
Zm00001d028878,1,49478393,49479415,1023,+,gramene,protein_coding,,,False,False,,,,,,13.2640991592644,0.2695347,NA,NA,#VALUE!,protein serine/threonine kinases;ATP binding;catalytics,N
Zm00001d028879,1,49496883,49497413,531,+,gramene,protein_coding,bZIP-transcription factor 24,bzip24,True,False,1-49086105,5.13615737871046E-30,,,,12.0267625022342,0.2265505,0.52713936848938,0.707043513829246,0.341283835156187,Ocs element-binding factor 1,N
Zm00001d028880,1,49535063,49535443,381,+,gramene,protein_coding,,,True,False,1-49126540,3.45971020056379E-15,,,,10.4179295919135,0.204966666666667,0.596447775060768,0.561046929522429,-0.059352800058198,Calvin cycle protein CP12-2 chloroplastic,N
Zm00001d028881,1,49574147,49575303,1157,+,gramene,protein_coding,,,False,False,,,,,,7.44571528091686,0.197043,NA,NA,#VALUE!,Protein STRUBBELIG-RECEPTOR FAMILY 4,N
Zm00001d028882,1,49580985,49583956,2972,-,gramene,protein_coding,,,False,False,,,,,,6.90734468926894,0.193937,NA,NA,#VALUE!,Actin-11,N
Zm00001d028883,1,49585839,49586662,824,+,gramene,protein_coding,,,False,False,,,,,,6.90734468926894,0.193937,NA,NA,#VALUE!,NA,N
Zm00001d028909,1,50719302,50721399,2098,+,gramene,protein_coding,,,True,False,1-50182309,4.0688524385357E-33,,,,6.49912408525,0.1873585,0.254867025774079,0.662684719247129,1.60011948283396,NA,N
Zm00001d028987,1,53748822,53754082,5261,-,gramene,protein_coding,,,True,False,,,,,,11.5828505003636,0.195406,NA,NA,#VALUE!,Phospholipid-transporting ATPase 1,N
Zm00001d029035,1,55558413,55560877,2465,+,gramene,protein_coding,,,False,False,,,,,,6.46594436733333,0.183047571428571,NA,NA,#VALUE!,DNA-binding bromodomain-containing protein,N
Zm00001d029036,1,55560773,55565406,4634,-,gramene,protein_coding,,,True,False,1-54928854,1.07972420538794E-15,,,,6.46594436733333,0.183047571428571,0.302339101921589,0.476926133254673,0.577454355799346,Hydroxyacylglutathione hydrolase cytoplasmic,N
Zm00001d029184,1,61494251,61495965,1715,+,gramene,protein_coding,,,False,False,,,,,,10.585082759,0.181715,NA,NA,#VALUE!,Cytochrome P450 71A26,N
Zm00001d029185,1,61532067,61532456,390,+,gramene,protein_coding,,,True,False,1-60725521,9.57050798204719E-19,,,,26.9199112286667,0.190169,0.414450241048466,0.210176206962699,-0.492879515690471,NA,N
Zm00001d029188,1,61566224,61570528,4305,+,gramene,protein_coding,,,True,False,1-60866706,4.6938640350806E-56,1-60869237,2.26979112599774E-34,0.377570261524977,35.1539580284,0.216967125,0.628173110784401,0.359859398304554,-0.427133393444369,COMPASS-like H3K4 histone methylase component WDR5B,N
Zm00001d029189,1,61571718,61574795,3078,-,gramene,protein_coding,,,True,False,1-60873891,2.37196561302122E-26,1-60870674,3.81462541262334E-20,0.254671086280068,35.1539580284,0.216967125,0.469982279684041,0.118621398785121,-0.747604529122103,R3H domain protein,N
Zm00001d029190,1,61638930,61642292,3363,+,gramene,protein_coding,,,False,False,,,,,,45.317938362,0.252552666666667,NA,NA,#VALUE!,Very-long-chain 3-oxoacyl-CoA reductase-like protein ,N
Zm00001d029191,1,61642456,61663754,21299,-,gramene,protein_coding,,,True,False,1-60818503,5.49364620420583E-13,,,,44.585459858,0.2572556,0.64607725479766,0.446785502562701,-0.308464275371176,Monocopper oxidase-like protein SKU5,N
Zm00001d029192,1,61646122,61648831,2710,+,gramene,protein_coding,,,False,False,,,,,,44.585459858,0.2572556,NA,NA,#VALUE!,NA,N
Zm00001d029193,1,61664668,61668706,4039,-,gramene,protein_coding,,skus11,True,True,,,1-60838470,8.0263001263761E-53,,42.4858094373333,0.267265,0.262334944012123,0.158472174718704,-0.395916638877584,SKU5  similar 3,N
Zm00001d029233,1,63272548,63273003,456,+,gramene,protein_coding,,,True,False,1-62462463,2.73799746777741E-19,,,,8.1386313277,0.185064666666667,0.558923892083039,0.500021164235563,-0.105385954477546,NA,N
Zm00001d029234,1,63275727,63280169,4443,-,gramene,protein_coding,,,True,False,1-62500342,1.37388266890736E-21,1-62496502,1.2030288766979E-31,0.013465113116018,7.99444857645454,0.185064666666667,0.808617403587661,0.407102912728709,-0.496544458575241,Protein Mo25  ,N
Zm00001d029235,1,63282987,63283952,966,-,gramene,protein_coding,,,False,False,,,,,,7.9884610921,0.185064666666667,NA,NA,#VALUE!,Probable galacturonosyltransferase-like 4,N
Zm00001d029237,1,63318026,63324928,6903,+,gramene,protein_coding,,,False,False,,,,,,7.94340777075,0.185064666666667,NA,NA,#VALUE!,Probable low-specificity L-threonine aldolase 1,N
Zm00001d029238,1,63325315,63328026,2712,+,gramene,protein_coding,,pco064025,True,False,1-62534782,2.30304017811336E-18,,,,7.80855828057143,0.185064666666667,0.389279357912138,0.415461738110725,0.067258588636741,Peptide methionine sulfoxide reductase B5,N
Zm00001d029248,1,63708680,63711620,2941,+,gramene,protein_coding,,,True,False,1-62890997,1.3141102336926E-19,,,,6.362297846,0.186135166666667,0.100046947704417,0.513063711809673,4.1282295320542,NA,N
Zm00001d029249,1,63744994,63752712,7719,+,gramene,protein_coding,,umc1917,True,True,1-62920397,1.35615623619439E-13,,,,9.27683918783333,0.2038591,0.142304332915967,0.497938425392193,2.49910937487921, protein; Uncharacterised protein family containing protein expressed,N
Zm00001d029250,1,63811849,63813987,2139,-,gramene,protein_coding,,sudh5,False,True,,,,,,14.4688007139263,0.2314647,NA,NA,#VALUE!,Succinate dehydrogenase [ubiquinone] flavoprotein subunit 1 mitochondrial,N
Zm00001d029251,1,63834316,63858602,24287,-,gramene,protein_coding,,PCO099415,False,False,,,,,,15.0248053988857,0.2365302,NA,NA,#VALUE!,NA,N
Zm00001d029252,1,63839696,63841358,1663,+,gramene,protein_coding,,,False,False,,,,,,15.5315006393289,0.2365302,NA,NA,#VALUE!,Gibberellin receptor GID1,N
Zm00001d022748,1,63844652,63844903,252,-,gramene,lincRNA,,,False,False,,,,,,15.9778802058618,0.235364333333333,NA,NA,#VALUE!,NA,N
Zm00001d029254,1,63859845,63864152,4308,-,gramene,protein_coding,,gpm828,True,False,1-63047490,3.84887831524194E-16,1-63014271,3.88060453910283E-55,0.026506563508626,14.7575303822565,0.23274475,0.624001897228287,0.610814371894063,-0.021133790446473,Solute carrier family 2%2C facilitated glucose transporter member 8  ,N
Zm00001d029255,1,63865739,63867379,1641,-,gramene,protein_coding,,,True,False,,,,,,14.7309440727822,0.234410142857143,0.405274380121985,0.186549074160831,-0.539696849071286,Transferase%2C transferring glycosyl groups  ,N
Zm00001d029256,1,63867544,63873593,6050,+,gramene,protein_coding,,,True,False,,,,,,13.9553072646004,0.234410142857143,NA,NA,#VALUE!,Serine/arginine-rich SC35-like splicing factor SCL28,N
Zm00001d029257,1,63916533,63917166,634,+,gramene,protein_coding,,,False,False,,,,,,11.130034280557,0.2345455,NA,NA,#VALUE!,NA,N
Zm00001d029264,1,64207240,64216522,9283,+,gramene,protein_coding,,ufg77,True,False,,,,,,7.4932635694,0.247879818181818,0.380043335289359,0.341436244157655,-0.101586023347335,CDPK-related kinase 1,N
Zm00001d029279,1,64616235,64617629,1395,+,gramene,protein_coding,,,True,False,1-63894611,1.13620838156832E-12,,,,12.638153891875,0.1830205,NA,NA,#VALUE!,Peroxidase 64,N
Zm00001d029280,1,64685464,64686836,1373,+,gramene,protein_coding,,,True,False,1-63860413,1.15912303999056E-20,,,,14.2785748145,0.187833,0.054140719102725,0.238800219917638,3.41073232633917,Peroxidase 64,N
Zm00001d029290,1,64986056,64988212,2157,+,gramene,protein_coding,,,False,False,,,,,,19.0238834056,0.212799,NA,NA,#VALUE!,Cytochrome P450 CYP709H1  ,N
